date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
264,2015-11-16,Detroit Red Wings,Ottawa Senators,4,3,OT
265,2015-11-16,Winnipeg Jets,St. Louis Blues,2,3,
266,2015-11-17,San Jose Sharks,Boston Bruins,5,4,
267,2015-11-17,Dallas Stars,Buffalo Sabres,3,1,
268,2015-11-17,St. Louis Blues,Columbus Blue Jackets,1,3,
269,2015-11-17,New Jersey Devils,Calgary Flames,2,3,
270,2015-11-17,Anaheim Ducks,Nashville Predators,2,3,
271,2015-11-17,Los Angeles Kings,Philadelphia Flyers,3,2,SO
272,2015-11-17,Minnesota Wild,Pittsburgh Penguins,3,4,
273,2015-11-17,Colorado Avalanche,Toronto Maple Leafs,1,5,
274,2015-11-18,Washington Capitals,Detroit Red Wings,2,1,OT
275,2015-11-18,Chicago Blackhawks,Edmonton Oilers,4,3,OT
276,2015-11-18,Vancouver Canucks,Winnipeg Jets,1,4,
277,2015-11-19,Minnesota Wild,Boston Bruins,2,4,
278,2015-11-19,Anaheim Ducks,Florida Panthers,3,1,
279,2015-11-19,Arizona Coyotes,Montreal Canadiens,3,2,
280,2015-11-19,Columbus Blue Jackets,Ottawa Senators,0,3,
281,2015-11-19,San Jose Sharks,Philadelphia Flyers,1,0,OT
282,2015-11-19,Colorado Avalanche,Pittsburgh Penguins,3,4,
283,2015-11-19,Buffalo Sabres,St. Louis Blues,2,3,SO
284,2015-11-19,New York Rangers,Tampa Bay Lightning,1,2,
285,2015-11-19,Dallas Stars,Washington Capitals,3,2,
286,2015-11-20,Toronto Maple Leafs,Carolina Hurricanes,2,1,SO
287,2015-11-20,Nashville Predators,Columbus Blue Jackets,0,4,
288,2015-11-20,Chicago Blackhawks,Calgary Flames,1,2,OT
289,2015-11-20,Los Angeles Kings,Detroit Red Wings,2,3,
290,2015-11-20,New Jersey Devils,Edmonton Oilers,1,5,
291,2015-11-20,Montreal Canadiens,New York Islanders,5,3,
292,2015-11-21,Toronto Maple Leafs,Boston Bruins,0,2,
293,2015-11-21,Buffalo Sabres,Dallas Stars,0,3,
294,2015-11-21,New York Rangers,Florida Panthers,5,4,OT
295,2015-11-21,Nashville Predators,Minnesota Wild,0,4,
296,2015-11-21,Philadelphia Flyers,Ottawa Senators,0,4,
297,2015-11-21,San Jose Sharks,Pittsburgh Penguins,3,1,
298,2015-11-21,Detroit Red Wings,St. Louis Blues,4,3,OT
299,2015-11-21,Anaheim Ducks,Tampa Bay Lightning,0,5,
300,2015-11-21,Chicago Blackhawks,Vancouver Canucks,3,6,
301,2015-11-21,Arizona Coyotes,Winnipeg Jets,2,3,
302,2015-11-21,Colorado Avalanche,Washington Capitals,3,7,
303,2015-11-22,Los Angeles Kings,Carolina Hurricanes,3,4,
304,2015-11-22,San Jose Sharks,Columbus Blue Jackets,5,3,
305,2015-11-22,New York Islanders,Montreal Canadiens,2,4,
306,2015-11-22,New Jersey Devils,Vancouver Canucks,3,2,
307,2015-11-23,St. Louis Blues,Buffalo Sabres,2,1,
308,2015-11-23,Los Angeles Kings,Florida Panthers,3,1,
309,2015-11-23,Nashville Predators,New York Rangers,0,3,
310,2015-11-23,Carolina Hurricanes,Philadelphia Flyers,2,3,OT
311,2015-11-23,Boston Bruins,Toronto Maple Leafs,4,3,SO
312,2015-11-23,Colorado Avalanche,Winnipeg Jets,4,1,
313,2015-11-23,Edmonton Oilers,Washington Capitals,0,1,
314,2015-11-24,Calgary Flames,Anaheim Ducks,3,5,
315,2015-11-24,Ottawa Senators,Dallas Stars,7,4,
316,2015-11-25,Anaheim Ducks,Arizona Coyotes,2,4,
317,2015-11-25,Nashville Predators,Buffalo Sabres,3,2,
318,2015-11-25,Edmonton Oilers,Carolina Hurricanes,1,4,
319,2015-11-25,Ottawa Senators,Colorado Avalanche,5,3,
320,2015-11-25,Boston Bruins,Detroit Red Wings,3,2,OT
321,2015-11-25,Vancouver Canucks,Minnesota Wild,3,2,
322,2015-11-25,Columbus Blue Jackets,New Jersey Devils,2,1,
323,2015-11-25,Philadelphia Flyers,New York Islanders,1,3,
324,2015-11-25,Montreal Canadiens,New York Rangers,5,1,
325,2015-11-25,St. Louis Blues,Pittsburgh Penguins,3,4,OT
326,2015-11-25,Chicago Blackhawks,San Jose Sharks,5,2,
327,2015-11-25,Los Angeles Kings,Tampa Bay Lightning,1,2,SO
328,2015-11-25,Winnipeg Jets,Washington Capitals,3,5,
329,2015-11-27,Chicago Blackhawks,Anaheim Ducks,3,2,OT
330,2015-11-27,Calgary Flames,Arizona Coyotes,1,2,OT
331,2015-11-27,New York Rangers,Boston Bruins,3,4,
332,2015-11-27,Carolina Hurricanes,Buffalo Sabres,1,4,
333,2015-11-27,Pittsburgh Penguins,Columbus Blue Jackets,1,2,OT
334,2015-11-27,Vancouver Canucks,Dallas Stars,2,3,SO
335,2015-11-27,Edmonton Oilers,Detroit Red Wings,3,4,OT
336,2015-11-27,New York Islanders,Florida Panthers,2,3,SO
337,2015-11-27,Winnipeg Jets,Minnesota Wild,3,1,
338,2015-11-27,Montreal Canadiens,New Jersey Devils,3,2,SO
339,2015-11-27,Nashville Predators,Philadelphia Flyers,2,3,OT
340,2015-11-27,Tampa Bay Lightning,Washington Capitals,2,4,
341,2015-11-28,Ottawa Senators,Arizona Coyotes,3,4,
342,2015-11-28,Winnipeg Jets,Colorado Avalanche,3,5,
343,2015-11-28,Chicago Blackhawks,Los Angeles Kings,2,3,OT
344,2015-11-28,Dallas Stars,Minnesota Wild,4,3,OT
345,2015-11-28,New Jersey Devils,Montreal Canadiens,3,2,OT
346,2015-11-28,Buffalo Sabres,Nashville Predators,4,1,
347,2015-11-28,Philadelphia Flyers,New York Rangers,3,0,
348,2015-11-28,Edmonton Oilers,Pittsburgh Penguins,3,2,SO
349,2015-11-28,Calgary Flames,San Jose Sharks,2,5,
350,2015-11-28,Columbus Blue Jackets,St. Louis Blues,1,3,
351,2015-11-28,New York Islanders,Tampa Bay Lightning,3,2,
352,2015-11-28,Washington Capitals,Toronto Maple Leafs,4,2,
353,2015-11-29,Florida Panthers,Detroit Red Wings,2,1,OT
354,2015-11-30,Vancouver Canucks,Anaheim Ducks,0,4,
355,2015-11-30,Colorado Avalanche,New York Islanders,3,5,
356,2015-11-30,Carolina Hurricanes,New York Rangers,3,4,
357,2015-11-30,Edmonton Oilers,Toronto Maple Leafs,0,3,
358,2015-12-01,Dallas Stars,Calgary Flames,3,4,SO
359,2015-12-01,Minnesota Wild,Chicago Blackhawks,2,1,
360,2015-12-01,Buffalo Sabres,Detroit Red Wings,4,5,SO
361,2015-12-01,Vancouver Canucks,Los Angeles Kings,1,2,OT
362,2015-12-01,Columbus Blue Jackets,Montreal Canadiens,1,2,
363,2015-12-01,Colorado Avalanche,New Jersey Devils,2,1,
364,2015-12-01,Arizona Coyotes,Nashville Predators,2,5,
365,2015-12-01,Philadelphia Flyers,Ottawa Senators,4,2,
366,2015-12-01,Pittsburgh Penguins,San Jose Sharks,5,1,
367,2015-12-01,Florida Panthers,St. Louis Blues,3,1,
368,2015-12-02,Tampa Bay Lightning,Anaheim Ducks,2,1,
369,2015-12-02,Boston Bruins,Edmonton Oilers,2,3,SO
370,2015-12-02,New York Rangers,New York Islanders,1,2,SO
371,2015-12-02,Toronto Maple Leafs,Winnipeg Jets,1,6,
372,2015-12-03,New Jersey Devils,Carolina Hurricanes,5,1,
373,2015-12-03,Arizona Coyotes,Detroit Red Wings,1,5,
374,2015-12-03,Toronto Maple Leafs,Minnesota Wild,0,1,
375,2015-12-03,Washington Capitals,Montreal Canadiens,3,2,
376,2015-12-03,Florida Panthers,Nashville Predators,2,1,
377,2015-12-03,Colorado Avalanche,New York Rangers,2,1,
378,2015-12-03,Chicago Blackhawks,Ottawa Senators,3,4,OT
379,2015-12-03,Dallas Stars,Vancouver Canucks,4,2,
380,2015-12-04,San Jose Sharks,Anaheim Ducks,0,1,
381,2015-12-04,Arizona Coyotes,Buffalo Sabres,2,5,
382,2015-12-04,Florida Panthers,Columbus Blue Jackets,2,1,SO
383,2015-12-04,Boston Bruins,Calgary Flames,4,5,OT
384,2015-12-04,Dallas Stars,Edmonton Oilers,1,2,OT
385,2015-12-04,Philadelphia Flyers,New Jersey Devils,4,3,OT
386,2015-12-04,St. Louis Blues,New York Islanders,1,2,SO
387,2015-12-05,Montreal Canadiens,Carolina Hurricanes,2,3,
388,2015-12-05,Nashville Predators,Detroit Red Wings,4,5,OT
389,2015-12-05,Pittsburgh Penguins,Los Angeles Kings,3,5,
390,2015-12-05,Colorado Avalanche,Minnesota Wild,0,3,
391,2015-12-05,New York Islanders,Ottawa Senators,2,3,OT
392,2015-12-05,Columbus Blue Jackets,Philadelphia Flyers,4,1,
393,2015-12-05,Tampa Bay Lightning,San Jose Sharks,4,3,
394,2015-12-05,Toronto Maple Leafs,St. Louis Blues,4,1,
395,2015-12-05,Boston Bruins,Vancouver Canucks,4,0,
396,2015-12-05,Washington Capitals,Winnipeg Jets,1,2,OT
397,2015-12-06,Pittsburgh Penguins,Anaheim Ducks,1,2,
398,2015-12-06,Arizona Coyotes,Carolina Hurricanes,4,5,
399,2015-12-06,Winnipeg Jets,Chicago Blackhawks,1,3,
400,2015-12-06,Buffalo Sabres,Edmonton Oilers,2,4,
401,2015-12-06,Tampa Bay Lightning,Los Angeles Kings,1,3,
402,2015-12-06,Florida Panthers,New Jersey Devils,2,4,
403,2015-12-06,Ottawa Senators,New York Rangers,1,4,
404,2015-12-07,Nashville Predators,Boston Bruins,3,2,
405,2015-12-07,Minnesota Wild,Colorado Avalanche,1,2,OT
406,2015-12-07,Buffalo Sabres,Vancouver Canucks,2,5,
407,2015-12-08,Los Angeles Kings,Columbus Blue Jackets,3,2,OT
408,2015-12-08,San Jose Sharks,Calgary Flames,2,4,
409,2015-12-08,Nashville Predators,Chicago Blackhawks,1,4,
410,2015-12-08,Carolina Hurricanes,Dallas Stars,5,6,
