date_game,visitor_team_name,home_team_name,visitor_goals,home_goals,overtimes
186,2016-11-08,Vancouver Canucks,New York Rangers,5,3,
187,2016-11-08,Detroit Red Wings,Philadelphia Flyers,3,2,SO
188,2016-11-08,Edmonton Oilers,Pittsburgh Penguins,3,4,
189,2016-11-08,Los Angeles Kings,Toronto Maple Leafs,7,0,
190,2016-11-08,Dallas Stars,Winnipeg Jets,2,8,
191,2016-11-08,San Jose Sharks,Washington Capitals,3,0,
192,2016-11-09,Ottawa Senators,Buffalo Sabres,2,1,SO
193,2016-11-09,Anaheim Ducks,Columbus Blue Jackets,2,3,OT
194,2016-11-09,Chicago Blackhawks,St. Louis Blues,2,1,OT
195,2016-11-10,Winnipeg Jets,Arizona Coyotes,3,2,
196,2016-11-10,Columbus Blue Jackets,Boston Bruins,2,5,
197,2016-11-10,Anaheim Ducks,Carolina Hurricanes,4,2,
198,2016-11-10,Dallas Stars,Calgary Flames,4,2,
199,2016-11-10,Vancouver Canucks,Detroit Red Wings,1,3,
200,2016-11-10,San Jose Sharks,Florida Panthers,4,2,
201,2016-11-10,Los Angeles Kings,Montreal Canadiens,1,4,
202,2016-11-10,St. Louis Blues,Nashville Predators,1,3,
203,2016-11-10,Minnesota Wild,Pittsburgh Penguins,4,2,
204,2016-11-10,New York Islanders,Tampa Bay Lightning,1,4,
205,2016-11-11,New Jersey Devils,Buffalo Sabres,2,1,OT
206,2016-11-11,Washington Capitals,Chicago Blackhawks,3,2,OT
207,2016-11-11,Winnipeg Jets,Colorado Avalanche,2,3,OT
208,2016-11-11,Dallas Stars,Edmonton Oilers,3,2,
209,2016-11-11,Los Angeles Kings,Ottawa Senators,1,2,
210,2016-11-11,Philadelphia Flyers,Toronto Maple Leafs,3,6,
211,2016-11-12,Boston Bruins,Arizona Coyotes,2,1,
212,2016-11-12,Washington Capitals,Carolina Hurricanes,1,5,
213,2016-11-12,St. Louis Blues,Columbus Blue Jackets,4,8,
214,2016-11-12,New York Rangers,Calgary Flames,4,1,
215,2016-11-12,New York Islanders,Florida Panthers,2,3,OT
216,2016-11-12,Detroit Red Wings,Montreal Canadiens,0,5,
217,2016-11-12,Buffalo Sabres,New Jersey Devils,2,4,
218,2016-11-12,Anaheim Ducks,Nashville Predators,0,5,
219,2016-11-12,Minnesota Wild,Philadelphia Flyers,2,3,
220,2016-11-12,Toronto Maple Leafs,Pittsburgh Penguins,1,4,
221,2016-11-12,San Jose Sharks,Tampa Bay Lightning,3,1,
222,2016-11-13,Montreal Canadiens,Chicago Blackhawks,2,3,
223,2016-11-13,Boston Bruins,Colorado Avalanche,2,0,
224,2016-11-13,New York Rangers,Edmonton Oilers,3,1,
225,2016-11-13,Minnesota Wild,Ottawa Senators,2,1,OT
226,2016-11-13,Dallas Stars,Vancouver Canucks,4,5,OT
227,2016-11-13,Los Angeles Kings,Winnipeg Jets,2,3,SO
228,2016-11-14,Tampa Bay Lightning,New York Islanders,4,0,
229,2016-11-15,Edmonton Oilers,Anaheim Ducks,1,4,
230,2016-11-15,San Jose Sharks,Carolina Hurricanes,0,1,
231,2016-11-15,Washington Capitals,Columbus Blue Jackets,1,2,OT
232,2016-11-15,Los Angeles Kings,Colorado Avalanche,1,4,
233,2016-11-15,New Jersey Devils,Dallas Stars,2,1,OT
234,2016-11-15,Tampa Bay Lightning,Detroit Red Wings,4,3,
235,2016-11-15,Calgary Flames,Minnesota Wild,1,0,
236,2016-11-15,Florida Panthers,Montreal Canadiens,4,3,OT
237,2016-11-15,Ottawa Senators,Philadelphia Flyers,3,2,SO
238,2016-11-15,Buffalo Sabres,St. Louis Blues,1,4,
239,2016-11-15,Nashville Predators,Toronto Maple Leafs,2,6,
240,2016-11-15,New York Rangers,Vancouver Canucks,7,2,
241,2016-11-15,Chicago Blackhawks,Winnipeg Jets,0,4,
242,2016-11-16,Arizona Coyotes,Calgary Flames,1,2,OT
243,2016-11-16,Pittsburgh Penguins,Washington Capitals,1,7,
244,2016-11-17,New Jersey Devils,Anaheim Ducks,2,3,
245,2016-11-17,Tampa Bay Lightning,Buffalo Sabres,4,1,
246,2016-11-17,Colorado Avalanche,Dallas Stars,2,3,
247,2016-11-17,Edmonton Oilers,Los Angeles Kings,2,4,
248,2016-11-17,Boston Bruins,Minnesota Wild,0,1,
249,2016-11-17,Nashville Predators,Ottawa Senators,5,1,
250,2016-11-17,Winnipeg Jets,Philadelphia Flyers,2,5,
251,2016-11-17,San Jose Sharks,St. Louis Blues,2,3,
252,2016-11-17,Florida Panthers,Toronto Maple Leafs,1,6,
253,2016-11-17,Arizona Coyotes,Vancouver Canucks,2,3,OT
254,2016-11-18,Montreal Canadiens,Carolina Hurricanes,2,3,
255,2016-11-18,New York Rangers,Columbus Blue Jackets,2,4,
256,2016-11-18,Chicago Blackhawks,Calgary Flames,3,2,
257,2016-11-18,Pittsburgh Penguins,New York Islanders,3,2,OT
258,2016-11-18,Detroit Red Wings,Washington Capitals,0,1,
259,2016-11-19,San Jose Sharks,Arizona Coyotes,2,3,OT
260,2016-11-19,Winnipeg Jets,Boston Bruins,1,4,
261,2016-11-19,Pittsburgh Penguins,Buffalo Sabres,1,2,SO
262,2016-11-19,Edmonton Oilers,Dallas Stars,5,2,
263,2016-11-19,New Jersey Devils,Los Angeles Kings,2,4,
264,2016-11-19,Colorado Avalanche,Minnesota Wild,3,2,
265,2016-11-19,Toronto Maple Leafs,Montreal Canadiens,1,2,
266,2016-11-19,Florida Panthers,Ottawa Senators,4,1,
267,2016-11-19,Tampa Bay Lightning,Philadelphia Flyers,3,0,
268,2016-11-19,Nashville Predators,St. Louis Blues,1,3,
269,2016-11-19,Chicago Blackhawks,Vancouver Canucks,4,3,OT
270,2016-11-20,Los Angeles Kings,Anaheim Ducks,3,2,
271,2016-11-20,Winnipeg Jets,Carolina Hurricanes,1,3,
272,2016-11-20,Calgary Flames,Detroit Red Wings,3,2,
273,2016-11-20,Florida Panthers,New York Rangers,3,2,SO
274,2016-11-20,Columbus Blue Jackets,Washington Capitals,3,2,
275,2016-11-21,Calgary Flames,Buffalo Sabres,2,4,
276,2016-11-21,Colorado Avalanche,Columbus Blue Jackets,3,2,OT
277,2016-11-21,Minnesota Wild,Dallas Stars,2,3,OT
278,2016-11-21,Chicago Blackhawks,Edmonton Oilers,0,5,
279,2016-11-21,Tampa Bay Lightning,Nashville Predators,1,3,
280,2016-11-21,New York Rangers,Pittsburgh Penguins,5,2,
281,2016-11-21,New Jersey Devils,San Jose Sharks,0,4,
282,2016-11-22,New York Islanders,Anaheim Ducks,3,2,SO
283,2016-11-22,St. Louis Blues,Boston Bruins,4,2,
284,2016-11-22,Philadelphia Flyers,Florida Panthers,3,1,
285,2016-11-22,Ottawa Senators,Montreal Canadiens,4,3,
286,2016-11-22,Carolina Hurricanes,Toronto Maple Leafs,2,1,
287,2016-11-23,Vancouver Canucks,Arizona Coyotes,4,1,
288,2016-11-23,Detroit Red Wings,Buffalo Sabres,2,1,SO
289,2016-11-23,Calgary Flames,Columbus Blue Jackets,2,0,
290,2016-11-23,Edmonton Oilers,Colorado Avalanche,6,3,
291,2016-11-23,New York Islanders,Los Angeles Kings,2,4,
292,2016-11-23,Winnipeg Jets,Minnesota Wild,1,3,
293,2016-11-23,Toronto Maple Leafs,New Jersey Devils,4,5,SO
294,2016-11-23,Dallas Stars,Nashville Predators,2,5,
295,2016-11-23,Pittsburgh Penguins,New York Rangers,6,1,
296,2016-11-23,Chicago Blackhawks,San Jose Sharks,1,2,
297,2016-11-23,Philadelphia Flyers,Tampa Bay Lightning,2,4,
298,2016-11-23,St. Louis Blues,Washington Capitals,3,4,
